id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137197,Altair, Altair, Chile,  Rapel Valley,Cabernet Sauvignon,Red,Table,14~15,17~19,SWEET1,ACIDITY4,BODY5,TANNIN4,167.23,2014.0,750.0
137198,"Altair, Sideral", Altair, Chile,  Rapel Valley,Cabernet Sauvignon,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,83.61,2016.0,750.0
137204,"Calvet, Bordeaux Red", Calvet, France, Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,15.96,2011.0,750.0
137205,"Calvet, Bordeaux white", Calvet, France, Bordeaux,Sauvignon blanc,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,15.96,2010.0,750.0
137207,"Calvet, Varietals Cabernet Sauvignon", Calvet, France,  Southern France,Cabernet Sauvignon,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,14.44,2017.0,750.0
137208,"Calvet, Varietals Merlot", Calvet, France,  Southern France,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,14.44,2011.0,750.0
137209,"Calvet, Reserve Bordeaux white", Calvet, France, Bordeaux,Sauvignon blanc,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,21.28,2011.0,750.0
137210,"Calvet, Premieres Cotes de Bordeaux", Calvet, France, Bordeaux,Semillon,White,Dessert,13,10~12,SWEET2,ACIDITY4,BODY3,TANNIN1,13.68,2009.0,750.0
137212,"Calvet, Medoc", Calvet, France, Bordeaux,Cabernet Sauvignon,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,24.32,2015.0,750.0
137214,"Calvet, Saint Emilion", Calvet, France, Bordeaux,Merlot,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,31.93,2010.0,750.0
137222,La Carillon de l'Angelus,"  Chateau Angelus, 1st Grand Cru Classe(A) ", France, Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,190.03,2017.0,750.0
